date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:13:38	31921/31921	---MCZ	200	added ('OK')	text/html	etag:W/%225ceb73b2-7cb1%22	https://akhepura.com/gair-dance.html	C:/My%20Web%20Sites/akhepura/akhepura.com/gair-dance.html	(from https://akhepura.com/)
13:13:38	32746/32746	---MCZ	200	added ('OK')	text/html	etag:W/%225ceb73b2-7fea%22	https://akhepura.com/kachhi-ghodi-dance.html	C:/My%20Web%20Sites/akhepura/akhepura.com/kachhi-ghodi-dance.html	(from https://akhepura.com/)
13:13:38	33025/33025	---MCZ	200	added ('OK')	text/html	etag:W/%225ceb73b2-8101%22	https://akhepura.com/ghoomar.html	C:/My%20Web%20Sites/akhepura/akhepura.com/ghoomar.html	(from https://akhepura.com/)
13:13:39	32497/32497	---MCZ	200	added ('OK')	text/html	etag:W/%225ceb73b2-7ef1%22	https://akhepura.com/kathputli-dance.html	C:/My%20Web%20Sites/akhepura/akhepura.com/kathputli-dance.html	(from https://akhepura.com/)
13:13:39	32678/32678	---MCZ	200	added ('OK')	text/html	etag:W/%225ceb73b2-7fa6%22	https://akhepura.com/maand.html	C:/My%20Web%20Sites/akhepura/akhepura.com/maand.html	(from https://akhepura.com/)
13:13:39	32635/32635	---MCZ	200	added ('OK')	text/html	etag:W/%225ceb73b2-7f7b%22	https://akhepura.com/pabuji-ki-phach.html	C:/My%20Web%20Sites/akhepura/akhepura.com/pabuji-ki-phach.html	(from https://akhepura.com/)
13:13:40	32786/32786	---MCZ	200	added ('OK')	text/html	etag:W/%225ceb73b2-8012%22	https://akhepura.com/rajasthani-musical-instruments.html	C:/My%20Web%20Sites/akhepura/akhepura.com/rajasthani-musical-instruments.html	(from https://akhepura.com/)
13:13:40	31608/31608	---MCZ	200	added ('OK')	text/html	etag:W/%225ceb73b2-7b78%22	https://akhepura.com/drum-dance.html	C:/My%20Web%20Sites/akhepura/akhepura.com/drum-dance.html	(from https://akhepura.com/)
13:13:40	31741/31741	---MCZ	200	added ('OK')	text/html	etag:W/%225ceb73b2-7bfd%22	https://akhepura.com/fire-dance.html	C:/My%20Web%20Sites/akhepura/akhepura.com/fire-dance.html	(from https://akhepura.com/)
13:13:40	43617/43617	---MCZ	200	added ('OK')	text/html	etag:W/%225ceb73b2-aa61%22	https://akhepura.com/gallery.html	C:/My%20Web%20Sites/akhepura/akhepura.com/gallery.html	(from https://akhepura.com/)
13:13:40	29158/29158	---MCZ	200	added ('OK')	text/html	etag:W/%226030bc96-71e6%22	https://akhepura.com/video.html	C:/My%20Web%20Sites/akhepura/akhepura.com/video.html	(from https://akhepura.com/)
13:13:41	28667/28667	---MCZ	200	added ('OK')	text/html	etag:W/%225ceb73b2-6ffb%22	https://akhepura.com/contact.html	C:/My%20Web%20Sites/akhepura/akhepura.com/contact.html	(from https://akhepura.com/)
13:13:41	467382/467382	---M--	200	added ('OK')	image/jpeg	etag:%225ce2af08-721b6%22	https://akhepura.com/images/Akhepura-group-dancer-slide.jpg	C:/My%20Web%20Sites/akhepura/akhepura.com/images/Akhepura-group-dancer-slide.jpg	(from https://akhepura.com/)
13:13:42	1122315/1122315	---M--	200	added ('OK')	image/jpeg	etag:%225ce2af08-11200b%22	https://akhepura.com/images/home-parallax1.jpg	C:/My%20Web%20Sites/akhepura/akhepura.com/images/home-parallax1.jpg	(from https://akhepura.com/)
13:13:42	4730/4730	---M--	200	added ('OK')	image/png	etag:%225ce2af08-127a%22	https://akhepura.com/images/artist.png	C:/My%20Web%20Sites/akhepura/akhepura.com/images/artist.png	(from https://akhepura.com/)
13:13:43	3390/3390	---M--	200	added ('OK')	image/png	etag:%225ce2af08-d3e%22	https://akhepura.com/images/awards.png	C:/My%20Web%20Sites/akhepura/akhepura.com/images/awards.png	(from https://akhepura.com/)
13:13:43	5259/5259	---M--	200	added ('OK')	image/png	etag:%225ce2af08-148b%22	https://akhepura.com/images/country.png	C:/My%20Web%20Sites/akhepura/akhepura.com/images/country.png	(from https://akhepura.com/)
13:13:43	3891/3891	---M--	200	added ('OK')	image/png	etag:%225ce2af08-f33%22	https://akhepura.com/images/performances.png	C:/My%20Web%20Sites/akhepura/akhepura.com/images/performances.png	(from https://akhepura.com/)
13:13:44	166623/166623	---M--	200	added ('OK')	image/jpeg	etag:%225ce2af08-28adf%22	https://akhepura.com/images/home-about.jpg	C:/My%20Web%20Sites/akhepura/akhepura.com/images/home-about.jpg	(from https://akhepura.com/)
13:13:44	128017/128017	---M--	200	added ('OK')	image/jpeg	etag:%225ce2af08-1f411%22	https://akhepura.com/images/home-artist.jpg	C:/My%20Web%20Sites/akhepura/akhepura.com/images/home-artist.jpg	(from https://akhepura.com/)
13:13:44	151584/151584	---M--	200	added ('OK')	image/jpeg	etag:%225ce2af08-25020%22	https://akhepura.com/images/home-folk-dance.jpg	C:/My%20Web%20Sites/akhepura/akhepura.com/images/home-folk-dance.jpg	(from https://akhepura.com/)
13:13:45	134060/134060	---M--	200	added ('OK')	image/jpeg	etag:%225ce2af08-20bac%22	https://akhepura.com/images/gallery1.jpg	C:/My%20Web%20Sites/akhepura/akhepura.com/images/gallery1.jpg	(from https://akhepura.com/)
13:13:45	84577/84577	---M--	200	added ('OK')	image/jpeg	etag:%225ce36c8c-14a61%22	https://akhepura.com/images/gallery1-big.jpg	C:/My%20Web%20Sites/akhepura/akhepura.com/images/gallery1-big.jpg	(from https://akhepura.com/)
13:13:45	968501/968501	---M--	200	added ('OK')	image/jpeg	etag:%225ce2af08-ec735%22	https://akhepura.com/images/parallax1.jpg	C:/My%20Web%20Sites/akhepura/akhepura.com/images/parallax1.jpg	(from https://akhepura.com/)
13:13:45	143383/143383	---M--	200	added ('OK')	image/jpeg	etag:%225ce2af08-23017%22	https://akhepura.com/images/gallery2.jpg	C:/My%20Web%20Sites/akhepura/akhepura.com/images/gallery2.jpg	(from https://akhepura.com/)
13:13:45	87341/87341	---M--	200	added ('OK')	image/jpeg	etag:%225ce36ed0-1552d%22	https://akhepura.com/images/gallery2-big.jpg	C:/My%20Web%20Sites/akhepura/akhepura.com/images/gallery2-big.jpg	(from https://akhepura.com/)
13:13:45	112141/112141	---M--	200	added ('OK')	image/jpeg	etag:%225ce2af08-1b60d%22	https://akhepura.com/images/gallery3.jpg	C:/My%20Web%20Sites/akhepura/akhepura.com/images/gallery3.jpg	(from https://akhepura.com/)
13:13:46	71720/71720	---M--	200	added ('OK')	image/jpeg	etag:%225ce36f30-11828%22	https://akhepura.com/images/gallery3-big.jpg	C:/My%20Web%20Sites/akhepura/akhepura.com/images/gallery3-big.jpg	(from https://akhepura.com/)
